2026-03-31T03:22:31.103112Z [NET] kind=tcp_accept packet= conn_id=142431926 uuid= ip=10.147.17.101 name="" detail=
2026-03-31T03:22:31.115227Z [NET] kind=connect_packet packet=*protocol.ConnectPacket conn_id=87402 uuid=MAv3KaDNyXEAAAAAz4iNgQ== ip=10.147.17.101 name="" detail=version=156 type=official mods=0
2026-03-31T03:22:31.2096211Z [NET] kind=world_handshake_sent packet= conn_id=87402 uuid=MAv3KaDNyXEAAAAAz4iNgQ== ip=10.147.17.101 name="[scarlet]（未绑定）[][#F285D1]月[#8982edff]子[#87ceebff]芳 I\uf7a9\uf7be[gray]87402[]" detail=
2026-03-31T03:22:31.4357819Z [NET] kind=connect_confirm_client_snapshot packet=*protocol.Remote_NetServer_clientSnapshot_22 conn_id=87402 uuid=MAv3KaDNyXEAAAAAz4iNgQ== ip=10.147.17.101 name="[scarlet]（未绑定）[][#F285D1]月[#8982edff]子[#87ceebff]芳 I\uf7a9\uf7be[gray]87402[]" detail=
2026-03-31T11:22:31.470501+08:00 [RESPAWN] player="[#F285D1]月[#8982edff]子[#87ceebff]芳 I\uf7a9\uf7be" team=1 no_core=1 spawn_x=185 spawn_y=71 tile=core-foundation
2026-03-31T11:22:31.4789192+08:00 [RESPAWN] player="[#F285D1]月[#8982edff]子[#87ceebff]芳 I\uf7a9\uf7be" team=1 unit=36 build_speed=0.75 spawn_x=185 spawn_y=71
2026-03-31T11:22:35.0554513+08:00 [BUILD] action=constructed x=143 y=107 block_id=286 block=导管 team=1 rot=1
2026-03-31T11:22:35.0555267+08:00 [BUILD] action=constructed x=143 y=108 block_id=289 block=流体路由器 team=1 rot=0
2026-03-31T11:22:35.0555267+08:00 [BUILD] action=constructed x=143 y=109 block_id=258 block=钛传送带 team=1 rot=0
2026-03-31T11:22:35.0560329+08:00 [BUILD] action=constructed x=142 y=110 block_id=326 block=气动钻头 team=1 rot=0
2026-03-31T11:22:35.0565496+08:00 [BUILD] action=constructed x=143 y=112 block_id=326 block=气动钻头 team=1 rot=0
2026-03-31T11:22:35.0565496+08:00 [BUILD] action=constructed x=144 y=109 block_id=258 block=钛传送带 team=1 rot=0
2026-03-31T11:22:35.0565496+08:00 [BUILD] action=constructed x=144 y=110 block_id=326 block=气动钻头 team=1 rot=0
2026-03-31T11:22:35.0571027+08:00 [BUILD] action=constructed x=144 y=114 block_id=258 block=钛传送带 team=1 rot=0
2026-03-31T11:22:35.0571027+08:00 [BUILD] action=constructed x=145 y=106 block_id=358 block=齐射 team=1 rot=1
2026-03-31T11:22:35.0571027+08:00 [BUILD] action=constructed x=145 y=109 block_id=286 block=导管 team=1 rot=1
2026-03-31T11:22:35.0571027+08:00 [BUILD] action=constructed x=145 y=112 block_id=326 block=气动钻头 team=1 rot=0
2026-03-31T11:22:35.0571027+08:00 [BUILD] action=constructed x=146 y=108 block_id=258 block=钛传送带 team=1 rot=3
2026-03-31T11:22:35.0576752+08:00 [BUILD] action=constructed x=146 y=114 block_id=258 block=钛传送带 team=1 rot=0
2026-03-31T11:22:35.0576752+08:00 [BUILD] action=constructed x=147 y=105 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.0576752+08:00 [BUILD] action=constructed x=147 y=114 block_id=258 block=钛传送带 team=1 rot=0
2026-03-31T11:22:35.0576752+08:00 [BUILD] action=constructed x=148 y=109 block_id=306 block=电池 team=1 rot=0
2026-03-31T11:22:35.0581866+08:00 [BUILD] action=constructed x=148 y=110 block_id=306 block=电池 team=1 rot=0
2026-03-31T11:22:35.0581866+08:00 [BUILD] action=constructed x=149 y=111 block_id=306 block=电池 team=1 rot=0
2026-03-31T11:22:35.0581866+08:00 [BUILD] action=constructed x=150 y=114 block_id=258 block=钛传送带 team=1 rot=0
2026-03-31T11:22:35.0581866+08:00 [BUILD] action=constructed x=151 y=106 block_id=349 block=双管 team=1 rot=1
2026-03-31T11:22:35.1391629+08:00 [BUILD] action=constructed x=151 y=107 block_id=266 block=路由器 team=1 rot=0
2026-03-31T11:22:35.1393024+08:00 [BUILD] action=constructed x=151 y=110 block_id=258 block=钛传送带 team=1 rot=3
2026-03-31T11:22:35.1401143+08:00 [BUILD] action=constructed x=151 y=111 block_id=258 block=钛传送带 team=1 rot=3
2026-03-31T11:22:35.1407274+08:00 [BUILD] action=constructed x=151 y=113 block_id=258 block=钛传送带 team=1 rot=3
2026-03-31T11:22:35.1407274+08:00 [BUILD] action=constructed x=151 y=114 block_id=258 block=钛传送带 team=1 rot=3
2026-03-31T11:22:35.1407274+08:00 [BUILD] action=constructed x=152 y=104 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.141309+08:00 [BUILD] action=constructed x=152 y=105 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.141309+08:00 [BUILD] action=constructed x=152 y=107 block_id=258 block=钛传送带 team=1 rot=3
2026-03-31T11:22:35.1418805+08:00 [BUILD] action=constructed x=153 y=104 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.1418805+08:00 [BUILD] action=constructed x=153 y=110 block_id=302 block=电力节点 team=1 rot=0
2026-03-31T11:22:35.1418805+08:00 [BUILD] action=constructed x=155 y=111 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.1423927+08:00 [BUILD] action=constructed x=155 y=112 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.1423927+08:00 [BUILD] action=constructed x=155 y=125 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.1423927+08:00 [BUILD] action=constructed x=155 y=126 block_id=231 block=大型废墙 team=1 rot=0
2026-03-31T11:22:35.1430526+08:00 [BUILD] action=constructed x=156 y=103 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.1430526+08:00 [BUILD] action=constructed x=156 y=106 block_id=231 block=大型废墙 team=1 rot=0
2026-03-31T11:22:35.1430526+08:00 [BUILD] action=constructed x=156 y=117 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.1436395+08:00 [BUILD] action=constructed x=156 y=118 block_id=231 block=大型废墙 team=1 rot=0
2026-03-31T11:22:35.1436395+08:00 [BUILD] action=constructed x=156 y=124 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.1436395+08:00 [BUILD] action=constructed x=156 y=128 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.2069553+08:00 [BUILD] action=constructed x=157 y=102 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.2069553+08:00 [BUILD] action=constructed x=157 y=103 block_id=231 block=大型废墙 team=1 rot=0
2026-03-31T11:22:35.2069553+08:00 [BUILD] action=constructed x=157 y=108 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.2069553+08:00 [BUILD] action=constructed x=157 y=120 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.2069553+08:00 [BUILD] action=constructed x=157 y=128 block_id=351 block=火焰 team=1 rot=1
2026-03-31T11:22:35.2079659+08:00 [BUILD] action=constructed x=158 y=106 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.2079659+08:00 [BUILD] action=constructed x=159 y=108 block_id=363 block=气旋 team=1 rot=1
2026-03-31T11:22:35.2084727+08:00 [BUILD] action=constructed x=158 y=120 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.2084727+08:00 [BUILD] action=constructed x=158 y=121 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.2084727+08:00 [BUILD] action=constructed x=158 y=125 block_id=284 block=回转泵 team=1 rot=0
2026-03-31T11:22:35.2084727+08:00 [BUILD] action=constructed x=158 y=128 block_id=258 block=钛传送带 team=1 rot=2
2026-03-31T11:22:35.209083+08:00 [BUILD] action=constructed x=159 y=103 block_id=230 block=废墙 team=1 rot=0
2026-03-31T11:22:35.209083+08:00 [BUILD] action=constructed x=159 y=106 block_id=230 block=废墙 team=1 rot=0
