2026-04-01T13:17:59.3213623Z [NET] kind=tcp_accept packet= conn_id=90212789 uuid= ip=192.168.0.101 name="" detail=
2026-04-01T21:18:10.0105295+08:00 [BUILD] action=constructed x=413 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.011538+08:00 [BUILD] action=placed x=412 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.0743214+08:00 [BUILD] action=constructed x=412 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.1011785+08:00 [BUILD] action=placed x=411 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.1244325+08:00 [BUILD] action=constructed x=411 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.1254327+08:00 [BUILD] action=placed x=410 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.1920811+08:00 [BUILD] action=constructed x=410 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.239423+08:00 [BUILD] action=placed x=409 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.2404223+08:00 [BUILD] action=constructed x=409 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.2404223+08:00 [BUILD] action=placed x=408 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.3052127+08:00 [BUILD] action=constructed x=408 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.3324383+08:00 [BUILD] action=placed x=407 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.3540771+08:00 [BUILD] action=constructed x=407 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.3565828+08:00 [BUILD] action=placed x=406 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.3983707+08:00 [BUILD] action=constructed x=406 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.4476266+08:00 [BUILD] action=placed x=405 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.4476266+08:00 [BUILD] action=constructed x=405 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.4715723+08:00 [BUILD] action=placed x=404 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.538605+08:00 [BUILD] action=constructed x=404 y=205 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.5865896+08:00 [BUILD] action=placed x=414 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.5865896+08:00 [BUILD] action=constructed x=414 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.5865896+08:00 [BUILD] action=placed x=413 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.6340513+08:00 [BUILD] action=constructed x=413 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.7081016+08:00 [BUILD] action=placed x=412 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.7086198+08:00 [BUILD] action=constructed x=412 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.7086198+08:00 [BUILD] action=placed x=411 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.7754905+08:00 [BUILD] action=constructed x=411 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.8049549+08:00 [BUILD] action=placed x=410 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.8280788+08:00 [BUILD] action=constructed x=410 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.8295877+08:00 [BUILD] action=placed x=409 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.8716751+08:00 [BUILD] action=constructed x=409 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.9221192+08:00 [BUILD] action=placed x=408 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.9221192+08:00 [BUILD] action=constructed x=408 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.9464039+08:00 [BUILD] action=placed x=407 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:10.9899968+08:00 [BUILD] action=constructed x=407 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.0610402+08:00 [BUILD] action=placed x=406 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.0625567+08:00 [BUILD] action=constructed x=406 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.0626685+08:00 [BUILD] action=placed x=405 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.1061943+08:00 [BUILD] action=constructed x=405 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.180168+08:00 [BUILD] action=placed x=404 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.181688+08:00 [BUILD] action=constructed x=404 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.1822219+08:00 [BUILD] action=placed x=403 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.295961+08:00 [BUILD] action=constructed x=403 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.2964687+08:00 [BUILD] action=placed x=402 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.2964687+08:00 [BUILD] action=constructed x=402 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.297476+08:00 [BUILD] action=placed x=401 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.3382724+08:00 [BUILD] action=constructed x=401 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.4104556+08:00 [BUILD] action=placed x=400 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.4104556+08:00 [BUILD] action=constructed x=400 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.4104556+08:00 [BUILD] action=placed x=399 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.4838966+08:00 [BUILD] action=constructed x=399 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.5113785+08:00 [BUILD] action=placed x=398 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.5351565+08:00 [BUILD] action=constructed x=398 y=207 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.5351565+08:00 [BUILD] action=placed x=409 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.5818436+08:00 [BUILD] action=constructed x=409 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.6611941+08:00 [BUILD] action=placed x=408 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.6611941+08:00 [BUILD] action=constructed x=408 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.6627914+08:00 [BUILD] action=placed x=407 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.7049265+08:00 [BUILD] action=constructed x=407 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.7794593+08:00 [BUILD] action=placed x=406 y=210 block_id=257 block=传送带 team=1 rot=2
